date,title
"['Feb 28, 2018']",Dragon Ball: Xenoverse 2 - Extra Pack 2: Infinite History
"['Feb 27, 2018']",Jettomero: Hero of the Universe
"['Feb 27, 2018']",Immortal Redneck
"['Feb 28, 2018']",Perfect Angle
"['Mar  1, 2018']",Bridge Constructor Portal
"['Feb 27, 2018']",Crypt of the Serpent King
"['Mar  1, 2018']",SEUM: Speedrunners from Hell
"['Feb 27, 2018']",Timothy vs. the Aliens
"['Feb 27, 2018']",Blasters of the Universe
"['Feb 27, 2018']",Heroine Anthem Zero: Episode 1
"['Feb 27, 2018']",Streets of Red: Devil's Dare Deluxe
"['Feb 27, 2018']",de Blob 2
"['Feb 27, 2018']",Mulaka
"['Jun 26, 2018']",The Lost Child
"['Sep 25, 2018']",Shining Resonance Re:frain
"['Feb 27, 2018']",Hex Tunnel
"['Oct 26, 2018']",Red Dead Redemption 2
"['Feb 27, 2018']",Moss
"['Feb 27, 2018']",Shiny
"['Jun  5, 2018']",BlazBlue: Cross Tag Battle
"['Jun  5, 2018']",ONRUSH
"['May 29, 2018']",Owlboy
"['May  8, 2018']",Conan Exiles
"['Jun  5, 2018']",Vampyr
"['May 15, 2018']",Dragon's Crown Pro
"['Sep 25, 2018']",Labyrinth of Refrain: Coven of Dusk
"['May 25, 2018']",Dark Souls Remastered
"['Apr 24, 2018']",Adventure Time: Pirates of the Enchiridion
"['Apr 24, 2018']",Megadimension Neptunia VIIR
"['Apr 10, 2018']",Rick and Morty Simulator: Virtual Rick-ality
"['Mar 30, 2018']",Code:Realize - Bouquet of Rainbows
"['Apr 20, 2018']",God of War
"['Apr 10, 2018']",Extinction
"['Mar 27, 2018']",The Witch and the Hundred Knight 2
"['Mar 27, 2018']",Darkest Dungeon: Ancestral Edition
"['Apr 17, 2018']",Yakuza 6: The Song of Life
"['Mar 27, 2018']",MX vs. ATV All Out
"['Mar 27, 2018']",Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings
"['Mar 23, 2018']",A Way Out
"['Mar 27, 2018']",Dollhouse
"['Mar 27, 2018']",Far Cry 5
"['Mar 27, 2018']",8-Bit Armies
"['Mar 22, 2018']",ARK Park
"['Mar 20, 2018']",Assault Gunners HD Edition: Extra Pack
"['Mar 21, 2018']",World of Warriors
"['Mar 20, 2018']",Titan Quest
"['Mar 23, 2018']",Ni no Kuni II: Revenant Kingdom
"['Mar 20, 2018']",Assault Gunners HD Edition
"['Mar 20, 2018']",Assassin's Creed Rogue Remastered
"['Mar 20, 2018']",Attack on Titan 2
"['Mar 13, 2018']",The 25th Ward: The Silver Case
"['Mar 13, 2018']",Devil May Cry HD Collection
"['Mar 15, 2018']",Surviving Mars
"['Mar 13, 2018']",The Raven Remastered
"['Mar 14, 2018']",The Long Reach
"['Mar 16, 2018']",Burnout Paradise Remastered
"['Mar 13, 2018']",Pure Farming 2018
"['Mar 13, 2018']",Golem
"['Mar  6, 2018']",Scribblenauts Showdown
"['Mar  6, 2018']",Fear Effect Sedna
"['Mar 13, 2018']",Pure Farming 18
"['Mar  8, 2018']",3D Mini Golf
"['Mar  6, 2018']",Final Fantasy XV: Royal Edition
"['Mar  6, 2018']",DJMax Respect
"['Mar  6, 2018']",TT Isle of Man: Ride On The Edge
"['Mar  6, 2018']",Bravo Team
"['Mar  6, 2018']",Assassin's Creed Origins: The Curse of the Pharaohs
"['Mar  6, 2018']",Way of the Passive Fist
"['Feb 27, 2018']",Gravel
"['Mar  1, 2018']",Bulb Boy
"['Mar  6, 2018']",Frantics
"['Mar  5, 2018']",Rocket League: DC Super Heroes DLC Pack
"['Feb 27, 2018']",RiftStar Raiders
